,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
0,Hyundai Verna CRDi,2012,60000,40000,Petrol,Individual,Manual,First Owner
1,Maruti Swift VDI,2010,260000,90000,Diesel,Individual,Manual,First Owner
2,Toyota Innova 2.5 VX 8 STR,2017,1250000,4000,Petrol,Dealer,Manual,First Owner
3,Hyundai Accent GLE,2020,190000,35000,Diesel,Individual,Manual,First Owner
4,Maruti Alto K10 VXI Airbag,2019,600000,58000,Diesel,Individual,Manual,Fourth & Above Owner
5,Maruti Ertiga SHVS VDI,2016,250000,34400,Petrol,Individual,Manual,First Owner
6,Mahindra Bolero 2011-2019 SLX,2014,2750000,1950,Petrol,Dealer,Manual,Third Owner
7,Hyundai Santro Xing XG eRLX Euro III,2007,530000,89000,Diesel,Dealer,Manual,First Owner
8,Maruti Alto LXi,2014,210000,110000,Diesel,Individual,Manual,First Owner
9,Hyundai Santro Xing XL eRLX Euro III,2017,540000,10510,Diesel,Individual,Manual,First Owner
10,Tata Manza Aura Safire BS IV,2008,670000,9800,Diesel,Individual,Manual,First Owner
11,Honda City i DTEC SV,2011,459999,120000,Diesel,Dealer,Manual,First Owner
12,Honda Brio 1.2 S MT,2007,120000,75000,Diesel,Individual,Manual,Second Owner
13,Audi A6 2.0 TDI  Design Edition,2007,1350000,11918,Diesel,Individual,Manual,First Owner
14,Maruti Wagon R LXI,2017,1200000,70000,Petrol,Individual,Manual,First Owner
15,Maruti Baleno Zeta 1.2,2012,611000,14000,Diesel,Individual,Manual,Second Owner
16,Toyota Fortuner 2.8 4WD AT BSIV,2007,90000,60000,Petrol,Individual,Manual,First Owner
17,Ford Figo Diesel Titanium,2017,1750000,10000,Petrol,Individual,Manual,First Owner
18,Maruti Vitara Brezza ZDi Plus,2007,100000,40000,Petrol,Individual,Manual,Second Owner
19,Hyundai i10 Magna 1.2,2018,229999,31000,Petrol,Individual,Manual,First Owner
20,Renault Pulse RxL,2008,850000,12997,Diesel,Individual,Manual,First Owner
21,Toyota Innova 2.5 G (Diesel) 8 Seater,2012,590000,40000,Petrol,Individual,Manual,Second Owner
22,Ford EcoSport 1.5 Ti VCT MT Titanium BSIV,2012,275000,80000,Diesel,Individual,Manual,First Owner
23,Maruti Ritz VDi,2015,670000,70000,Diesel,Dealer,Manual,First Owner
24,Renault Duster 110PS Diesel RxZ,2012,1650000,41090,Diesel,Individual,Manual,Fourth & Above Owner
25,Mahindra Bolero 2011-2019 SLX,2017,525000,80000,Petrol,Individual,Manual,First Owner
26,Ford Aspire Titanium BSIV,2020,828999,20000,Diesel,Individual,Automatic,First Owner
27,Maruti Alto 800 LXI,2013,900000,33000,Diesel,Individual,Manual,First Owner
28,Toyota Innova 2.5 G1 BSIV,2007,3100000,40000,Petrol,Individual,Manual,First Owner
29,Maruti Alto LXi,2018,220000,1000,Diesel,Individual,Manual,First Owner
30,Hyundai Santro GS,2017,700000,60000,Diesel,Individual,Manual,First Owner
31,Honda City i DTEC SV,2016,365000,35000,Diesel,Individual,Manual,First Owner
32,Nissan Micra Diesel XV Premium,2007,248000,65000,Petrol,Individual,Manual,Test Drive Car
33,Hyundai i20 Active S Petrol,2017,120000,63000,Petrol,Individual,Manual,Third Owner
34,Maruti Celerio VXI AT,2010,190000,89600,Diesel,Dealer,Manual,First Owner
35,Mahindra Verito 1.5 D4 BSIV,2016,1200000,27289,CNG,Individual,Automatic,Fourth & Above Owner
36,Hyundai i20 Active 1.2 SX,2019,345000,15000,Diesel,Individual,Manual,First Owner
37,Maruti Swift Dzire VDI,2017,320000,110000,Petrol,Individual,Manual,First Owner
38,Fiat Linea T Jet Emotion,2014,80000,75000,Petrol,Dealer,Manual,First Owner
39,Hyundai Santro LS zipPlus,2017,311000,300000,Petrol,Individual,Manual,First Owner
40,Maruti Zen VXI,2020,90000,180000,Diesel,Individual,Manual,Second Owner
41,Maruti Omni LPG STD BSIV,2010,425000,30000,Diesel,Dealer,Manual,First Owner
42,Maruti Zen VXI,2011,85000,53000,Diesel,Individual,Manual,First Owner
43,Chevrolet Captiva LT,1998,711000,2020,Petrol,Dealer,Manual,Test Drive Car
44,Mercedes-Benz E-Class Exclusive E 200 BSIV,2007,550000,90000,Petrol,Individual,Manual,Second Owner
45,Hyundai Santro Xing GL Plus,2011,150000,186000,Diesel,Individual,Manual,First Owner
46,Maruti Wagon R VXI,2015,640000,267000,Diesel,Individual,Manual,First Owner
47,Ford Freestyle Titanium Diesel,2005,426000,130000,Petrol,Dealer,Manual,First Owner
48,Honda City i-VTEC VX,2017,250000,60000,Diesel,Individual,Manual,First Owner
49,Maruti Wagon R LXI BS IV,2016,910000,70070,Petrol,Dealer,Automatic,Third Owner
50,Hyundai i10 Magna 1.2,2014,60000,80000,Diesel,Individual,Manual,First Owner
51,Maruti Ciaz 1.4 Alpha,2019,341000,124000,Diesel,Individual,Automatic,Second Owner
52,Mahindra Scorpio 2.6 CRDe,2017,500000,63500,Diesel,Individual,Manual,First Owner
53,Maruti Baleno Vxi,2017,285000,28217,Diesel,Individual,Manual,First Owner
